Title;Artist;Year;Duo;Explicit;"Date Added";Styles
Reality;"Lost Frequencies";2015;0;0;2015-07-11;Pop,Electro,Dance
"I Got You Babe";"Sonny and Cher";1965;1;0;2007-05-04;Pop,Duet,Love
"Marry You";"Bruno Mars";2010;0;0;2011-05-31;Pop
"Twist And Shout";"The Beatles";1962;0;0;2008-01-15;"Rock 'n Roll,Rock,Oldies"
"I Am A Man Of Constant Sorrow";"Soggy Bottom Boys";2002;0;0;2007-05-04;"Country,TV & movie soundtrack"
"J'ai encore rêvé d'elle";"Il était une fois";1975;1;0;2012-02-07;"French pop,Duet,Love"
"Lay Me Down";"Sam Smith";2013;0;0;2013-10-08;Pop,Dance
"Hit Me With Your Best Shot";"Pat Benatar";1980;0;0;2011-12-21;Rock
"It's Now Or Never";"Elvis Presley";1961;0;0;2008-08-22;Oldies,Rock
"Angels (Acoustic)";"Robbie Williams";1997;0;0;2015-08-18;"Pop,Soft rock"
"Jailhouse Rock";"Elvis Presley";1957;0;0;2007-07-31;"Rock 'n Roll,Oldies,TV & movie soundtrack"
"Walkin' After Midnight";"Patsy Cline";1957;0;0;2012-01-31;Country
Angel;"Sarah McLachlan";1997;0;0;2007-05-04;Soul,Pop
"Under The Sea";"Little Mermaid";1989;0;0;0000-00-00;"TV & movie soundtrack,Kids,Zouk/Creole"
"La bohème";"Charles Aznavour";1966;0;0;2011-07-29;"French pop"
"Titanium (Acoustic)";"David Guetta";2012;0;0;2013-03-26;Pop
"Baby Got Back";"Sir Mix-a-Lot";1992;0;1;2011-05-31;Rap,Humour
"Jar Of Hearts";"Christina Perri";2010;0;0;2011-05-30;"Soft rock,Pop"
"Old Time Rock & Roll";"Bob Seger";1978;0;0;2011-05-31;"Rock 'n Roll"
"Georgia On My Mind";"Ray Charles";1960;0;0;2008-07-21;Soul,Jazz
"Three Little Birds";"Bob Marley";1977;0;0;2011-05-30;Reggae
"Englishman In New-York";"Cris Cab";2015;0;0;2015-07-07;Pop,Dance,Reggae
Fever;"Peggy Lee";1958;0;0;2008-05-05;Jazz,Oldies
"The Wonder Of You";"Elvis Presley";1970;0;0;2012-10-01;Oldies,Pop
Santiano;"Hugues Aufray";1961;0;0;2011-05-30;"French pop,Celtic"
Margaritaville;"Jimmy Buffett";1977;0;0;2011-05-30;Pop,Folk
"Trap Queen";"Fetty Wap";2014;0;0;2015-08-04;Rap
"Bang Bang";"Ariana Grande";2014;0;0;2014-09-29;Pop,R&B,Soul,Rap
"Chandelier (Piano Version)";Sia;2014;0;0;2014-10-15;Pop
"Ain't Nobody";"Chaka Khan";1983;0;0;2011-05-31;Pop,Soul,80s
"Come Together";"The Beatles";1969;0;0;2011-11-15;Blues,Rock
Jolene;"Dolly Parton";1974;0;0;2011-05-31;Folk,Country
"L'envie d'aimer";"Les Dix Commandements";2000;0;0;2011-05-31;"French pop,Musical,Love"
"See You Again (Piano Version)";"Charlie Puth";2015;0;0;2015-06-26;Pop
"Green Green Grass Of Home";"Tom Jones";1967;0;0;2012-02-22;Country
"More Than Words";Extreme;1991;0;0;2011-05-30;"Soft rock"
Hallelujah;"Leonard Cohen";1984;0;0;2011-05-30;Folk
Respect;"Aretha Franklin";1967;0;0;2007-07-18;Soul
"I'm So Excited";"The Pointer Sisters";1982;0;0;2008-03-25;Pop,Soul
Stitches;"Shawn Mendes";2015;0;0;2015-07-01;Rock,Pop
"The Dance";"Garth Brooks";1989;0;0;2012-03-07;Country
"Blue Suede Shoes";"Elvis Presley";1956;0;0;2007-05-04;"Rock 'n Roll,Oldies"
"Quando, Quando, Quando";"Michael Bublé";2005;1;0;2011-05-31;Jazz,Latin,Duet
L'aventurier;Indochine;1982;0;0;2014-05-28;"French pop,80s"
"Valerie ('68 version)";"Amy Winehouse";2011;0;0;2012-07-18;Soul,Jazz
"L'hymne à l'amour";"Edith Piaf";1949;0;0;2012-01-27;"French pop,Oldies"
"Black Horse And The Cherry Tree";"KT Tunstall";2005;0;0;2011-05-31;"Soft rock,Folk"
"Every Breath You Take";"The Police";1983;0;0;2007-06-06;Pop,Rock
"Strangers In The Night";"Frank Sinatra";1960;0;0;2007-05-04;Oldies,Pop,Jazz
"Don't Worry";Madcon;2015;0;0;2015-05-26;Pop,Dance,Electro,Rap
"That's Life";"Frank Sinatra";1966;0;0;2011-05-30;Oldies
"You Shook Me All Night Long";AC/DC;1980;0;0;2007-07-16;Hard/Metal,Rock
"I Put A Spell On You";"Annie Lennox";2015;0;0;2015-04-07;"Blues,TV & movie soundtrack"
"Oh, Pretty Woman";"Roy Orbison";1964;0;0;2008-08-22;"Rock 'n Roll,Pop"
Cendrillon;Téléphone;1982;0;0;2011-12-30;"French pop,Rock"
"(I Can't Get No) Satisfaction";"The Rolling Stones";1965;0;0;2011-05-31;"Rock,Rock 'n Roll"
"No Woman, No Cry";"Bob Marley";1974;0;0;2011-05-31;Reggae
Hallelujah;"Rufus Wainwright";2001;0;0;2011-11-10;"TV & movie soundtrack,Soft rock"
"Toi et le soleil (I Can See Clearly Now)";"Les stars font leur cinéma";2015;0;0;2015-08-24;"French pop,Dance"
"Auf uns (Akustik Version)";"Andreas Bourani";2014;0;0;2015-07-28;"Soft rock,Pop,Schlager"
Kryptonite;"3 Doors Down";2000;0;0;2008-03-21;Rock
"Wake Me Up!";Avicii;2013;0;0;2013-09-09;Dance,Electro,Folk,Soul
